ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
93741,12,2022,Gas- Commercial,Y,0,0,
93901,10,2022,Gas- Commercial,Y,"1,191","493,405",414
93901,11,2022,Gas- Commercial,Y,"1,196","695,891",582
93901,12,2022,Gas- Commercial,N,"1,074","408,942",381
93905,10,2022,Gas- Commercial,Y,399,"126,594",317
93905,11,2022,Gas- Commercial,Y,398,"153,711",386
93905,12,2022,Gas- Commercial,N,374,"170,560",456
93906,10,2022,Gas- Commercial,N,407,"118,568",291
93906,11,2022,Gas- Commercial,N,407,"154,652",380
93906,12,2022,Gas- Commercial,N,409,"185,720",454
93907,10,2022,Gas- Commercial,Y,526,"140,078",266
93907,11,2022,Gas- Commercial,Y,525,"198,075",377
93907,12,2022,Gas- Commercial,Y,525,"231,713",441
93908,10,2022,Gas- Commercial,Y,0,0,
93908,11,2022,Gas- Commercial,Y,0,0,
93908,12,2022,Gas- Commercial,Y,139,"350,325","2,520"
93921,10,2022,Gas- Commercial,N,149,"43,319",291
93921,11,2022,Gas- Commercial,N,149,"48,713",327
93921,12,2022,Gas- Commercial,N,149,"51,986",349
93923,10,2022,Gas- Commercial,Y,458,"171,888",375
93923,11,2022,Gas- Commercial,Y,0,0,
93923,12,2022,Gas- Commercial,Y,456,"238,082",522
93924,10,2022,Gas- Commercial,Y,0,0,
93924,11,2022,Gas- Commercial,Y,0,0,
93924,12,2022,Gas- Commercial,Y,0,0,
93925,10,2022,Gas- Commercial,Y,0,0,
93925,11,2022,Gas- Commercial,Y,0,0,
93925,12,2022,Gas- Commercial,Y,0,0,
93926,10,2022,Gas- Commercial,Y,0,0,
93926,11,2022,Gas- Commercial,Y,0,0,
93926,12,2022,Gas- Commercial,Y,0,0,
93927,10,2022,Gas- Commercial,Y,0,0,
93927,11,2022,Gas- Commercial,Y,0,0,
93927,12,2022,Gas- Commercial,Y,0,0,
93930,10,2022,Gas- Commercial,Y,730,"263,538",361
93930,11,2022,Gas- Commercial,Y,615,"230,376",375
93930,12,2022,Gas- Commercial,Y,609,"238,876",392
93933,10,2022,Gas- Commercial,N,284,"63,743",224
93933,11,2022,Gas- Commercial,N,288,"88,821",308
93933,12,2022,Gas- Commercial,N,286,"106,638",373
93940,10,2022,Gas- Commercial,Y,"1,367","604,994",443
93940,11,2022,Gas- Commercial,Y,"1,828","1,023,359",560
93940,12,2022,Gas- Commercial,Y,"1,369","909,441",664
93944,10,2022,Gas- Commercial,Y,0,0,
93944,11,2022,Gas- Commercial,Y,0,0,
93944,12,2022,Gas- Commercial,Y,0,0,
93950,10,2022,Gas- Commercial,Y,0,0,
93950,11,2022,Gas- Commercial,Y,0,0,
93950,12,2022,Gas- Commercial,Y,0,0,
93953,10,2022,Gas- Commercial,Y,0,0,
93953,11,2022,Gas- Commercial,Y,0,0,
93953,12,2022,Gas- Commercial,Y,0,0,
93955,10,2022,Gas- Commercial,N,461,"106,524",231
93955,11,2022,Gas- Commercial,N,461,"157,705",342
93955,12,2022,Gas- Commercial,N,462,"182,498",395
93960,10,2022,Gas- Commercial,Y,0,0,
93960,11,2022,Gas- Commercial,Y,0,0,
93960,12,2022,Gas- Commercial,Y,0,0,
94002,10,2022,Gas- Commercial,Y,0,0,
94002,11,2022,Gas- Commercial,Y,0,0,
94002,12,2022,Gas- Commercial,Y,0,0,
94005,10,2022,Gas- Commercial,Y,0,0,
94005,11,2022,Gas- Commercial,Y,0,0,
94005,12,2022,Gas- Commercial,Y,0,0,
94010,10,2022,Gas- Commercial,Y,"1,055","405,590",384
94010,11,2022,Gas- Commercial,N,829,"462,541",558
94010,12,2022,Gas- Commercial,N,825,"562,776",682
94014,10,2022,Gas- Commercial,Y,723,"282,872",391
94014,11,2022,Gas- Commercial,Y,551,"309,839",562
94014,12,2022,Gas- Commercial,Y,550,"378,117",687
94015,10,2022,Gas- Commercial,N,282,"207,125",734
94015,11,2022,Gas- Commercial,N,283,"241,280",853
94015,12,2022,Gas- Commercial,N,283,"285,442","1,009"
94019,10,2022,Gas- Commercial,Y,0,0,
94019,11,2022,Gas- Commercial,Y,0,0,
94019,12,2022,Gas- Commercial,Y,0,0,
94022,10,2022,Gas- Commercial,Y,0,0,
94022,11,2022,Gas- Commercial,Y,0,0,
94022,12,2022,Gas- Commercial,Y,0,0,
94024,10,2022,Gas- Commercial,Y,0,0,
94024,11,2022,Gas- Commercial,Y,0,0,
94024,12,2022,Gas- Commercial,Y,0,0,
94025,10,2022,Gas- Commercial,Y,0,0,
94025,11,2022,Gas- Commercial,Y,0,0,
94025,12,2022,Gas- Commercial,Y,0,0,
94027,10,2022,Gas- Commercial,Y,0,0,
94027,11,2022,Gas- Commercial,Y,0,0,
94027,12,2022,Gas- Commercial,Y,0,0,
94028,10,2022,Gas- Commercial,Y,0,0,
94028,11,2022,Gas- Commercial,Y,0,0,
94028,12,2022,Gas- Commercial,Y,0,0,
94030,10,2022,Gas- Commercial,Y,278,"157,151",565
94030,11,2022,Gas- Commercial,Y,277,"192,373",694
94030,12,2022,Gas- Commercial,Y,274,"226,975",828
94038,10,2022,Gas- Commercial,Y,0,0,
94038,11,2022,Gas- Commercial,Y,0,0,
94038,12,2022,Gas- Commercial,Y,0,0,
94040,10,2022,Gas- Commercial,Y,0,0,
94040,11,2022,Gas- Commercial,Y,0,0,
94040,12,2022,Gas- Commercial,Y,0,0,
94041,10,2022,Gas- Commercial,Y,0,0,
94041,11,2022,Gas- Commercial,Y,0,0,
94041,12,2022,Gas- Commercial,Y,0,0,
94043,10,2022,Gas- Commercial,Y,"1,470","1,088,339",740
94043,11,2022,Gas- Commercial,Y,"1,869","2,034,567","1,089"
94043,12,2022,Gas- Commercial,Y,"1,865","2,416,073","1,295"
94044,10,2022,Gas- Commercial,Y,310,"80,002",258
94044,11,2022,Gas- Commercial,Y,311,"96,591",311
94044,12,2022,Gas- Commercial,Y,311,"109,690",353
94061,10,2022,Gas- Commercial,Y,0,0,
94061,11,2022,Gas- Commercial,Y,0,0,
94061,12,2022,Gas- Commercial,Y,0,0,
94062,10,2022,Gas- Commercial,Y,0,0,
94062,11,2022,Gas- Commercial,Y,221,"146,756",664
94062,12,2022,Gas- Commercial,Y,222,"172,682",778
94063,10,2022,Gas- Commercial,Y,"1,975","906,337",459
94063,11,2022,Gas- Commercial,Y,"1,978","1,492,716",755
94063,12,2022,Gas- Commercial,Y,"1,977","1,808,164",915
94065,10,2022,Gas- Commercial,Y,0,0,
94065,11,2022,Gas- Commercial,Y,0,0,
94065,12,2022,Gas- Commercial,Y,0,0,
94066,10,2022,Gas- Commercial,N,414,"138,664",335
94066,11,2022,Gas- Commercial,N,412,"184,395",448
94066,12,2022,Gas- Commercial,N,412,"231,031",561
94070,10,2022,Gas- Commercial,Y,"3,059","1,227,648",401
94070,11,2022,Gas- Commercial,Y,"1,364","424,229",311
94070,12,2022,Gas- Commercial,Y,"1,362","530,574",390
94080,10,2022,Gas- Commercial,N,"1,037","979,862",945
94080,11,2022,Gas- Commercial,N,"1,031","1,273,638","1,235"
94080,12,2022,Gas- Commercial,N,"1,029","1,529,450","1,486"
94085,10,2022,Gas- Commercial,Y,0,0,
94085,11,2022,Gas- Commercial,Y,0,0,
94085,12,2022,Gas- Commercial,Y,0,0,
94086,10,2022,Gas- Commercial,N,365,"176,343",483
94086,11,2022,Gas- Commercial,N,362,"273,183",755
94086,12,2022,Gas- Commercial,N,361,"332,874",922
94087,10,2022,Gas- Commercial,Y,0,0,
94087,11,2022,Gas- Commercial,Y,0,0,
94087,12,2022,Gas- Commercial,Y,0,0,
94089,10,2022,Gas- Commercial,Y,0,0,
94089,11,2022,Gas- Commercial,Y,0,0,
94089,12,2022,Gas- Commercial,Y,0,0,
94102,10,2022,Gas- Commercial,N,501,"320,755",640
94102,11,2022,Gas- Commercial,N,499,"410,729",823
94102,12,2022,Gas- Commercial,N,495,"484,804",979
94103,10,2022,Gas- Commercial,N,"1,118","365,164",327
94103,11,2022,Gas- Commercial,N,"1,119","515,046",460
94103,12,2022,Gas- Commercial,N,"1,123","686,138",611
94104,10,2022,Gas- Commercial,Y,0,0,
94104,11,2022,Gas- Commercial,Y,0,0,
